Fonte;ID/Pasta;Código/Nome;Duração;Tipo de áudio;Imagem;Áudio;Data;Op. VT;Marcelo;Observações
CLIP1;45536;VT-JOGUNIVERSO_CP25;00:03:21.06;Voz e BGM;OK;OK;06/12/2021;Jesus;Gabriel;
CLIP2;45787;1808805784_CP01;00:01:38.03;BGM;OK;OK;10/12/2021;Jesus;Gabriel;
CLIP2;VTs e Vídeos\Para Teste;(Editado) Mini bicicleta dobrável Pedalinho com contador Cicloergometro WCT Fitness_1;00:01:19.00;Sem áudio;OK;N/A;15/12/2021;Jesus;Gabriel;
CLIP2;VTs e Vídeos\VTs de Produtos;Linha E-Due _IBBL.mp4;00:01:00.00;Voz e BGM;OK;OK;16/12/2021;Jesus;Cleyton;
CLIP2;VTs e Vídeos\VTs de Produtos;Avião Elétrico Infantil Super Fly - Brink+.mp4;00:01:13.00;BGM;OK;OK;16/12/2021;Jesus;Cleyton;
CLIP2;VTs e Vídeos\VTs de Produtos;Bonecas baby bichinhos Brink+ _ Shoptime;00:01:12.00;BGM;OK;OK;16/12/2021;Jesus;Cleyton;
CLIP2;VTs e Vídeos\VTs de Produtos;Liquidificador 1400W Problend Ri2244;00:01:55.00;BGM;OK;OK;16/12/2021;Jesus;Cleyton;
CLIP2;VTs e Vídeos\VTs de Produtos;Panela de pressao eletrica 5L Inox - Fun Kitchen;00:01:55.00;BGM;OK;OK;16/12/2021;Jesus;Cleyton;
CLIP1;46035;VT-JOGUNIVERSO_CP26;00:04:35.06;Voz e BGM;OK;OK;17/12/2021;Jesus;Gabriel;
CLIP2;Material Programas\Papo a Gosto\16.12.2021 - Filho da Mãe;VIDEO  PUNHETADE BACALHAL_mpeg4;00:00:55.00;Voz e BGM;OK;OK;17/12/2021;Jesus;Gabriel;
CLIP2;Material Programas\Papo a Gosto\16.12.2021 - Filho da Mãe;VIDEO  TASCA DO FILHO DA MÃE_mpeg4;00:01:59.00;Voz e BGM;OK;OK;17/12/2021;Jesus;Gabriel;
CLIP2;Material Programas\Papo a Gosto\16.12.2021 - Filho da Mãe;VIDEO COM OFF BACALHAL_mpeg4;00:00:48.00;Voz e BGM;OK;OK;17/12/2021;Jesus;Gabriel;
CLIP2;VTs e Vídeos\VTs de Produtos;Ropo Glass 3 - Pareamento com Alexa;00:02:58.00;Voz e BGM;OK;OK;20/12/2021;Jesus;Marcelo;
CLIP1;46171;134598386_CP01;00:01:27.24;Voz e BGM;OK;OK;21/12/2021;Jesus;Marcelo;
CLIP1;46170;132728731_CP01;00:00:41.09;BGM;OK;OK;21/12/2021;Jesus;Marcelo;
CLIP1;46392;EV | VEM2022_CP01;00:00:10.00;Sem áudio;OK;Sem áudio;28/12/2021;Jesus;André;
CLIP1;43202;133850834_CP01;00:08:54.07;Voz e BGM;OK;OK;29/12/2021;Jesus;Marcelo;
CLIP1;7368;133850834_CP02;00:01:34.27;BGM;OK;OK;29/12/2021;Jesus;Marcelo;
CLIP1;7337;133850834_CP01;00:01:48.13;BGM;OK;OK;29/12/2021;Jesus;Marcelo;
CLIP1;46434;VT-JOGUNIVERSO_CP28;00:04:20.01;Voz e BGM;OK;OK;30/12/2021;Bárbara;André;
CLIP2;VTs e Vídeos\VTs de Produtos;Desodorizador de Geladeira Berry Breeze La Cuisine _ Shoptime;00:01:10.00;BGM;OK;OK;30/12/2021;Bárbara;André;
CLIP1;VTs e Vídeos\VTs de Produtos;Aspirador de Pó Ciclone Force 1000W Philco;00:00:41.00;BGM;OK;OK;30/12/2021;Jesus;Gabriel;
CLIP1;42013;VH-ABVR_CP01;00:00:15.00;BGM;OK;OK;30/12/2021;Jesus;Gabriel;Mídia alterada, copiado para o ETX12 novamente
CLIP1;46499;VT | CAPRIJOGUNIVERSO_CP01;00:03:43.21;Voz e BGM;Reprovado;OK;03/01/2022;Jesus;André;"Asset ""pisca"" entre cortes de câmera com 48s rodados. Mariana notificada."
CLIP2;VTs e Vídeos\VTs de Produtos;Robô Aspirador de Pó Mondial RB04;00:02:03.00;Voz e BGM;OK;OK;03/01/2022;Jesus;André;
CLIP1;46613;VT | CAPRIJOGUNIVERSO_CP02;00:03:43.21;Voz e BGM;Reprovado;OK;04/01/2022;Jesus;André;"Asset ""pisca"" entre cortes de câmera com 48s rodados. Mariana notificada."
CLIP2;46826;VTSUGESSTRESTSARAVA;00:01:16:00;Voz e BGM;Reprovado;OK;17/01/2022;Bárbara;Gabriel;Diretora achou a vinheta grande demais, texto da vinheta pisca. Patrícia notificada.
CLIP1;46973;VT | MERCUJOGUNIVERSO_CP01;00:05:24.18;Voz e BGM;OK;OK;19/01/2022;Jesus;Marcelinho;
CLIP1;47163;VT-SUGESTRESTSARAVA_CP02;00:01:16.01;Voz e BGM;Reprovado;Reprovado;21/01/2022;Jesus;André;Artefados na logo da vinheta, áudio de baixa qualidade. Márcia/Patrícia notificada, decidiram rodar mesmo assim
CLIP2;Material Programas\Vida Revista\2022\24.01.2022;After Life _ Season 3 Official Trailer _ Netflix;00:02:11.00;Voz e BGM;OK;OK;24/01/2022;Jesus;Gabriel;
CLIP1;47284;VE-ABCH-01A;00:00:15.02;BGM;OK;OK;25/01/2022;Jesus;Gabriel;
CLIP2;VTs e Vídeos\VTs de Produtos;Crepeira e Mini Máquina de Waffle  Fun Kitchen Shoptime;00:01:10.00;BGM;OK;OK;25/01/2022;Jesus;Gabriel;
CLIP2;VTs e Vídeos\VTs de Produtos;Panela de Pressão Elétrica Multifuncional Fun Kitchen;00:01.55.00;BGM;OK;OK;25/01/2022;Jesus;Gabriel;
CLIP2;Material Programas\Chef em Casa\SEMANA 4;Flávia - Pousada Sandi_corrigido;00:00:15.00;Voz;OK;OK;27/01/2022;Jesus;André;Vídeo estava invertido, mas o corretor foi capaz de corrigir.
CLIP2;VTs e Vídeos\VTs de Produtos;Mini bicicleta dobrável Pedalinho com contador Cicloergometro WCT Fitness;00:02:18.00;Voz e BGM;OK;OK;27/01/2022;Jesus;Marcelo;Black de 17 segundos no final do vídeo, sinalizar para edição.
CLIP1;47391;VT | AQUAJOGUNIVERSO_CP01;00:03:47.26;Voz e BGM;OK;OK;27/01/2022;Jesus;André;
CLIP2;Material Programas\Casa e Conforto\2022\27.01.2022 - TBT Shoptime;#TBT-2701;00:01:23.00;Voz e BGM;OK;OK;27/01/2022;Jesus;André;
CLIP2;Material Programas\Casa e Conforto\2022\27.01.2022 - TBT Shoptime;Shoptime TBT Adriana Tolentino - Kit Travesseiro Penas de Ganso 50 x 70 cm 4 peças Casa e Conforto;00:01:20.00;Voz e BGM;OK;OK;27/01/2022;Jesus;André;Qualidade ruim, mas aceitáveis para a proposta do programa
CLIP2;Material Programas\Casa e Conforto\2022\27.01.2022 - TBT Shoptime;Shoptime TBT Bárbara Marttins - Enxoval Caroline Casa e Conforto;00:01:12.00;Voz e BGM;OK;OK;27/01/2022;Jesus;André;Qualidade ruim, mas aceitáveis para a proposta do programa
CLIP2;Material Programas\Casa e Conforto\2022\27.01.2022 - TBT Shoptime;Shoptime TBT Fabiana Boal - Kit de Cama Rosas Casa e Conforto;00:01:23.00;Voz e BGM;OK;OK;27/01/2022;Jesus;André;Qualidade ruim, mas aceitáveis para a proposta do programa
CLIP2;Material Programas\Casa e Conforto\2022\27.01.2022 - TBT Shoptime;Shoptime TBT Renata Pitanga - Jogo de Toalha Banhão Verão Hit 5 Peças Casa e Conforto;00:00:47.00;Voz e BGM;OK;OK;27/01/2022;Jesus;André;Qualidade ruim, mas aceitáveis para a proposta do programa
CLIP2;Material Programas\Casa e Conforto\2022\27.01.2022 - TBT Shoptime;Shoptime TBT Semana da Mulher;00:00:45.00;Voz e BGM;OK;OK;27/01/2022;Jesus;André;Qualidade ruim, mas aceitáveis para a proposta do programa
CLIP1;47601;VT-URANOJOGUNIVERSO_CP01;00:03:36.09;Voz e BGM;OK;OK;04/02/2022;Jesus;André;
CLIP2;Atalhos de Hoje\16h - Papo a Gosto (Temporário);OFF 01 - FEIJÃO_mpeg4;00:01:28.00;Voz e BGM;OK;OK;04/02/2022;Jesus;André;
CLIP2;Atalhos de Hoje\16h - Papo a Gosto (Temporário);OFF 01 - TORREMOS_mpeg4;00:00:45.00;Voz e BGM;OK;OK;04/02/2022;Jesus;André;
